time,x0, x1, x2
0.000000000000000000e+00,-9.786928800000000095e+00,-1.503852000000000011e+01,2.053397800000000117e+01
1.000000000000000000e+00,-1.057756759515195455e+01,-1.583384568593286801e+01,2.204454526992281416e+01
2.000000000000000000e+00,-1.135546427590000285e+01,-1.642969617520352088e+01,2.378762677043732054e+01
3.000000000000000000e+00,-1.208930515399988437e+01,-1.675208480754831086e+01,2.572245661266223493e+01
4.000000000000000000e+00,-1.274210598093994307e+01,-1.673275755103761142e+01,2.777973997559410790e+01
5.000000000000000000e+00,-1.327368082024801943e+01,-1.632186377207098360e+01,2.986204058927441807e+01
6.000000000000000000e+00,-1.364461855889890884e+01,-1.550128993539919620e+01,3.185073116739396326e+01
7.000000000000000000e+00,-1.382137979462213906e+01,-1.429469779654557193e+01,3.362003995083419028e+01
8.000000000000000000e+00,-1.378158601323046994e+01,-1.276999647697026141e+01,3.505601782406220224e+01
9.000000000000000000e+00,-1.351820787427216963e+01,-1.103174809920426291e+01,3.607554285421277740e+01
1.000000000000000000e+01,-1.304143204009622714e+01,-9.204565037484442769e+00,3.663946705577301799e+01
1.100000000000000000e+01,-1.237757600669066527e+01,-7.412199370031603785e+00,3.675574088691532637e+01
1.200000000000000000e+01,-1.156531157828085554e+01,-5.758639188023324529e+00,3.647215821750108944e+01
1.300000000000000000e+01,-1.065023900984542138e+01,-4.316205180043048095e+00,3.586214224348234580e+01
1.400000000000000000e+01,-9.679182804360205949e+00,-3.122377486831999338e+00,3.500875573110001682e+01
1.500000000000000000e+01,-8.695388923278995819e+00,-2.183867138019639498e+00,3.399138892143873392e+01
1.600000000000000000e+01,-7.735288737919896462e+00,-1.484745853280851957e+00,3.287738256010606364e+01
1.700000000000000000e+01,-6.826942619561557457e+00,-9.954666906598006459e-01,3.171863419535387862e+01
1.800000000000000000e+01,-5.989886452207002776e+00,-6.806452093390823466e-01,3.055190468550871330e+01
1.900000000000000000e+01,-5.235934589503367320e+00,-5.046858845670429972e-01,2.940119258691912307e+01
2.000000000000000000e+01,-4.570496205585368621e+00,-4.352296629847277609e-01,2.828082370700903425e+01
2.100000000000000000e+01,-3.994057437092783047e+00,-4.448509496562613741e-01,2.719840100146689110e+01
2.200000000000000000e+01,-3.503601203315546808e+00,-5.115496725831261138e-01,2.615721207213253763e+01
2.300000000000000000e+01,-3.093841186963372181e+00,-6.185205270416511691e-01,2.515799792404805402e+01
2.400000000000000000e+01,-2.758222106743349666e+00,-7.535555241233671264e-01,2.420014977453996963e+01
2.500000000000000000e+01,-2.489685665656878655e+00,-9.083125765318790235e-01,2.328246226317215672e+01
2.600000000000000000e+01,-2.281226860222959285e+00,-1.077586860186865003e+00,2.240357526520876874e+01
2.700000000000000000e+01,-2.126275935156222818e+00,-1.258656020209862225e+00,2.156221473416644585e+01
2.800000000000000000e+01,-2.018943080004697244e+00,-1.450729221944062619e+00,2.075731456940646069e+01
2.900000000000000000e+01,-1.954160114023063555e+00,-1.654506239278460411e+00,1.998807564348946997e+01
3.000000000000000000e+01,-1.927748487270376510e+00,-1.871840046237519539e+00,1.925399812448065262e+01
3.100000000000000000e+01,-1.936437437354695978e+00,-2.105490322238780632e+00,1.855490934345635878e+01
3.200000000000000000e+01,-1.977850869611380791e+00,-2.358952998486920194e+00,1.789100068669317878e+01
